file,relative_path,rows,bytes,description
first_review_notes.csv,data/curation/first_review_notes.csv,25,1228,Human-editable review intake for importing first-review notes.
renou_subject_rules.csv,data/curation/renou_subject_rules.csv,25,8039,Human-editable Renou state/register subject matching rules.
atlas_list_functions.csv,data/processed/atlas_list_functions.csv,44,1676,Readable categories for what work the mailing list performed by decade.
atlas_people_summary.csv,data/processed/atlas_people_summary.csv,3152,384761,Conservative person-level participation summary using normalized author labels.
atlas_reply_summary.csv,data/processed/atlas_reply_summary.csv,4,170,Directed reply reconstruction counts by confidence level.
atlas_timeline.csv,data/processed/atlas_timeline.csv,37,2945,"Year-by-year atlas summary for volume, threads, authors, dominant topics, and list functions."
atlas_topic_profiles.csv,data/processed/atlas_topic_profiles.csv,12,1032,"Topic profiles with time span, thread counts, author counts, and dominant list functions."
author_aliases.csv,data/processed/author_aliases.csv,3285,589505,"Public author-normalization audit table, one row per raw author string."
author_eras.csv,data/processed/author_eras.csv,4279,110063,Generated atlas output.
author_participation_cohorts.csv,data/processed/author_participation_cohorts.csv,15,527,Generated atlas output.
authors_needing_review.csv,data/processed/authors_needing_review.csv,889,188339,Ambiguous author strings retained without identity merging.
case_review_queue.csv,data/processed/case_review_queue.csv,250,91612,English-only review queue for all generated case-study candidates.
case_review_queue_infrastructure.csv,data/processed/case_review_queue_infrastructure.csv,16,6844,Review packet for case-study candidates suggested as infrastructure history.
case_review_queue_philological.csv,data/processed/case_review_queue_philological.csv,36,15954,Review packet for case-study candidates suggested as philological substance.
case_review_queue_unassigned.csv,data/processed/case_review_queue_unassigned.csv,198,69530,Review packet for case-study candidates without an automatic track suggestion.
case_score_components.csv,data/processed/case_score_components.csv,250,24692,Generated atlas output.
case_study_candidates.csv,data/processed/case_study_candidates.csv,250,118225,Data-driven thread candidates for close reading and human curation.
count_mismatch_audit.csv,data/processed/count_mismatch_audit.csv,8,1715,Documentation of months where archive index and mbox counts differ.
curated_case_studies.csv,data/processed/curated_case_studies.csv,250,35792,Review-ready curation table seeded from generated case-study candidates.
curated_case_summary.csv,data/processed/curated_case_summary.csv,14,707,"Aggregate counts by curation status, track, and case type."
excluded_author_artifacts.csv,data/processed/excluded_author_artifacts.csv,2,399,Mail-client/list artifacts excluded from person-level analysis.
first_review_shortlist.csv,data/processed/first_review_shortlist.csv,25,10473,Balanced first-pass shortlist for starting human case-study review.
human_review_index.csv,data/processed/human_review_index.csv,1922,484637,"Unified reviewer-facing queue for author, case-study, count, noisy-subject, and reply-network checks."
human_review_summary.json,data/processed/human_review_summary.json,5,499,Machine-readable summary of the unified human review index.
interpretive_guardrails.csv,data/processed/interpretive_guardrails.csv,7,2812,"Responsible-claims guardrails for interpreting reply, co-participation, volume, archive, and author-normalization outputs."
list_function_decade_share.csv,data/processed/list_function_decade_share.csv,44,1676,Generated atlas output.
messages.csv,data/processed/messages.csv,72515,38935176,"Analyzed message metadata with cleaned subjects, topic labels, thread length, and author display strings."
messages_clean.csv,data/processed/messages_clean.csv,72515,46272335,Message metadata with conservative normalized author labels and author audit fields.
